0
ala_B_c --> ACAc + h2o_c
3hpp_c + nh4_c --> ala_B_c + h2o_c
3amac_c + nh4_c --> ACAc + h2o_c
b2coa_c + succ_c --> 3amac_c + succoa_c
ppcoa_c + o2_c --> b2coa_c + h2o2_c
b2coa_c + ac_c --> 3amac_c + accoa_c
b2coa_c + h2o_c --> 3amac_c + coa_c
oxam_c + nadh_c + h_c --> ACAc + nad_c + h2o_c
op4en_c + nh4_c --> oxam_c + h2o_c
pep_c + h2o_c --> op4en_c + pi_c
glyc__R_c --> op4en_c + h2o_c
glyald_c --> oxam_c + h2o_c
glyc__R_c + nh4_c --> glyald_c + h2o_c
acrlcoa_c + succ_c --> acryl_c + succoa_c
laccoa_c --> acrlcoa_c + h2o_c
lald__L_c + coa_c + atp_c --> laccoa_c + adp_c + pi_c
acrlcoa_c + ac_c --> acryl_c + accoa_c
acrlcoa_c + h2o_c --> acryl_c + coa_c
acac_c + h2o_c --> ACAC_c + ac_c
alac-S_c --> acac_c + h2o_c
op4en_0_3548_1_c + nadh_c + h_c --> ACAC_c + nad_c + h2o_c
acald_c + nad_c + h2o_c --> ACAC_c + nadh_c + h_c
lald_D_c --> acald_c + h2o_c
b2coa_c + nadh_c + h_c --> acald_c + nad_c + coa_c
b2coa_c + nadph_c + h_c --> acald_c + nadp_c + coa_c
fum_0_0870_2_c --> acald_c + co2_c
aspsa_c --> fum_0_0870_2_c + nh4_c
2aobut_0_1026_2_c --> acac_c + nh4_c
ala_D_c + accoa_c --> 2aobut_0_1026_2_c + coa_c
3amac_0_4615_1_c + h2o_c --> ACAC_c + meoh_c
lac_D_0_2692_2_c --> 3amac_0_4615_1_c + h2o_c
lac_D_c + amet_c --> lac_D_0_2692_2_c + ahcys_c
chtbs_0_2365_1_c + udp_c --> ACAC_c + uacgam_c
chtbs_0_1827_2_c --> chtbs_0_2365_1_c + nh4_c
acgal_c + ala_B_c --> chtbs_0_1827_2_c + h2o_c
acgam6p_c + h2o_c --> acgal_c + pi_c
chtbs_0_2365_1_c + udp_c --> ACAC_c + uacmam_c
ppa_0_3158_2_c + o2_c --> acald_c + h2o_c + co2_c
ppcoa_0_0137_3_c + succ_c --> ppa_0_3158_2_c + succoa_c
btcoa_c + o2_c --> ppcoa_0_0137_3_c + h2o2_c
ppcoa_0_0137_3_c + ac_c --> ppa_0_3158_2_c + accoa_c
3hbcoa_c --> ppcoa_0_0137_3_c + h2o_c
ppcoa_0_0137_3_c + h2o_c --> ppa_0_3158_2_c + coa_c
msa_c + nadh_c + h_c --> 3hpp_c + nad_c
msa_c + nadph_c + h_c --> 3hpp_c + nadp_c
ac_c + mlthf_c + h2o_c --> 3hpp_c + thf_c
mal__D_c --> 3hpp_c + co2_c
oaa_c + nadh_c + h_c --> mal__D_c + nad_c
oaa_c + nadph_c + h_c --> mal__D_c + nadp_c
glx_c + accoa_c + h2o_c --> mal__D_c + coa_c
ac_c + glx_c --> mal__D_c
fum_c + h2o_c --> mal__D_c
3hppnl_c + nad_c + h2o_c --> 3hpp_c + nadh_c + h_c
glyc_c --> 3hppnl_c + h2o_c
