condition,target_reaction,target product flux,growth_rate,model ID,reaction_id,flux,Pathways,Pathway Type
glc_anaerobic,EX_3hpp_e,6.89122807017543,0.7226687933346551,iJO1366_super,R_Campodonico_64,0.0005183244884290187,"[[55, 56, 64, 63]]",3HPP
glc_anaerobic,EX_3hpp_e,8.614035087719287,0.7096422366498428,iJO1366_super,R_Campodonico_126,65.41029837182101,"[[125, 126, 127, 49], [125, 126, 127, 50], [125, 126, 127, 51]]",13PPD
glc_anaerobic,EX_3hpp_e,8.614035087719287,0.7096422366498428,iJO1366_super,R_Campodonico_64,0.0005183244884290187,"[[55, 56, 64, 63]]",3HPP
glc_anaerobic,EX_3hpp_e,10.336842105263145,0.6966156799657057,iJO1366_super,R_Campodonico_126,65.41029837182101,"[[125, 126, 127, 49], [125, 126, 127, 50], [125, 126, 127, 51]]",13PPD
glc_anaerobic,EX_3hpp_e,10.336842105263145,0.6966156799657057,iJO1366_super,R_Campodonico_64,0.0005183244884290187,"[[55, 56, 64, 63]]",3HPP
glc_anaerobic,EX_3hpp_e,12.059649122807002,0.6835891232815905,iJO1366_super,R_Campodonico_126,65.41029837182101,"[[125, 126, 127, 49], [125, 126, 127, 50], [125, 126, 127, 51]]",13PPD
glc_anaerobic,EX_3hpp_e,12.059649122807002,0.6835891232815905,iJO1366_super,R_Campodonico_64,0.0005183244884290187,"[[55, 56, 64, 63]]",3HPP
glc_anaerobic,EX_3hpp_e,13.78245614035086,0.6705625665968332,iJO1366_super,R_Campodonico_126,65.41029837182101,"[[125, 126, 127, 49], [125, 126, 127, 50], [125, 126, 127, 51]]",13PPD
glc_anaerobic,EX_3hpp_e,13.78245614035086,0.6705625665968332,iJO1366_super,R_Campodonico_64,0.0005183244884290187,"[[55, 56, 64, 63]]",3HPP
glc_anaerobic,EX_3hpp_e,15.505263157894717,0.6302585690226157,iJO1366_super,R_Campodonico_126,65.41029837182101,"[[125, 126, 127, 49], [125, 126, 127, 50], [125, 126, 127, 51]]",13PPD
