Metabolite,Formula
rdmbzi_c,C14H18N2O4
rephaccoa_c,C29H38N7O18P3S
rhcys_c,C9H17NO6S
rib__D_c,C5H10O5
ribflv_c,C17H20N4O6
rml_c,C6H12O5
rml1p_c,C6H11O8P
rmn_c,C6H12O5
ru5p__D_c,C5H9O8P
ru5p__L_c,C5H9O8P
s17bp_c,C7H12O13P2
s7p_c,C7H13O10P
sarcs_c,C3H7NO2
sbt6p_c,C6H13O9P
sbzcoa_c,C32H39N7O20P3S
scl_c,C42H39N4O16
sectrna_c,C3H6NOSeR
sel_c,O4Se
seln_c,HSe
selnp_c,H2O3PSe
ser__D_c,C3H7NO3
ser__L_c,C3H7NO3
seramp_c,C13H19N6O9P
sertrna_c,C3H6NO2R
sertrna_sec_c,C3H6NO2R
sheme_c,C42H36FeN4O16
skm_c,C7H9O5
skm5p_c,C7H8O8P
sl26da_c,C11H16N2O7
sl2a6o_c,C11H12NO8
slnt_c,O3Se
so2_c,O2S
so3_c,O3S
so4_c,O4S
spmd_c,C7H22N3
stcoa_c,C39H66N7O17P3S
suc6p_c,C12H21O14P
sucarg_c,C10H17N4O5
sucbz_c,C11H8O5
succ_c,C4H4O4
succoa_c,C25H35N7O19P3S
sucglu_c,C9H10NO7
sucgsa_c,C9H11NO6
suchms_c,C8H12NO6
sucorn_c,C9H15N2O5
sucsal_c,C4H5O3
sufbcd_c,H8O2S6R
sufbcd_2fe2s_c,H4O2S8Fe2R
sufbcd_2fe2s2_c,O2S10Fe4R
sufbcd_4fe4s_c,H4O2S10Fe4R
sufse_c,HSR
sufsesh_c,HS2R
sulfac_c,C2H2O5S
t3c11vaceACP_c,C29H51N2O8PRS
t3c5ddeceACP_c,C23H39N2O8PRS
t3c7mrseACP_c,C25H43N2O8PRS
t3c9palmeACP_c,C27H47N2O8PRS
tag6p__D_c,C6H11O9P
tagdp__D_c,C6H10O12P2
tagur_c,C6H9O7
tartr__D_c,C4H4O6
tartr__L_c,C4H4O6
taur_c,C2H7NO3S
tcynt_c,CNS
td2coa_c,C35H56N7O17P3S
tdcoa_c,C35H58N7O17P3S
tddec2eACP_c,C23H41N2O8PRS
tdeACP_c,C25H45N2O8PRS
tdec2eACP_c,C21H37N2O8PRS
tdecoa_c,C35H56N7O17P3S
thdp_c,C7H7NO4
thex2eACP_c,C17H29N2O8PRS
thf_c,C19H21N7O6
thm_c,C12H17N4OS
thmmp_c,C12H16N4O4PS
thmnp_c,C9H15N5O4
thmpp_c,C12H16N4O7P2S
thptdn_c,C6H10N4
thr__L_c,C4H9NO3
thrtrna_c,C4H8NO2R
thym_c,C5H6N2O2
thymd_c,C10H14N2O5
tma_c,C3H10N
tmao_c,C3H9NO
tmrs2eACP_c,C25H45N2O8PRS
toct2eACP_c,C19H33N2O8PRS
toctd2eACP_c,C29H53N2O8PRS
tpalm2eACP_c,C27H49N2O8PRS
trdox_c,X
trdrd_c,XH2
tre_c,C12H22O11
tre6p_c,C12H21O14P
trnaala_c,R
trnaarg_c,R
trnaasn_c,C10H17O10PR2
trnaasp_c,R
trnacys_c,R
trnagln_c,R
trnaglu_c,R
trnagly_c,R
trnahis_c,R
trnaile_c,R
trnaleu_c,R
trnalys_c,R
trnamet_c,R
trnaphe_c,R
trnapro_c,R
trnasecys_c,R
trnaser_c,R
trnathr_c,R
trnatrp_c,R
trnatyr_c,R
trnaval_c,R
trp__L_c,C11H12N2O2
trptrna_c,C11H11N2OR
tsul_c,O3S2
ttdca_c,C14H27O2
ttdcap_c,C14H28O5P
ttdcea_c,C14H25O2
ttdceap_c,C14H26O5P
tungs_c,O4W1
tyr__L_c,C9H11NO3
tyrtrna_c,C9H10NO2R
u23ga_c,C43H75N3O20P2
u3aga_c,C31H51N3O19P2
u3hga_c,C29H50N3O18P2
uLa4fn_c,C61H99N1O8P1
uLa4n_c,C60H100N1O7P1
uaagmda_c,C95H152N8O28P2
uaccg_c,C20H26N3O19P2
uacgam_c,C17H25N3O17P2
uacmam_c,C17H25N3O17P2
uacmamu_c,C17H22N3O18P2
uagmda_c,C87H139N7O23P2
uama_c,C23H33N4O20P2
uamag_c,C28H39N5O23P2
uamr_c,C20H28N3O19P2
udcpdp_c,C55H89O7P2
udcpp_c,C55H89O4P
udp_c,C9H11N2O12P2
udpLa4fn_c,C15H21N3O16P2
udpLa4n_c,C14H22N3O15P2
udpLa4o_c,C14H18N2O16P2
udpg_c,C15H22N2O17P2
udpgal_c,C15H22N2O17P2
udpgalfur_c,C15H22N2O17P2
udpglcur_c,C15H19N2O18P2
ugmd_c,C35H51N7O26P2
ugmda_c,C41H61N9O28P2
um4p_c,C38H56N8O27P2
ump_c,C9H11N2O9P
unaga_c,C63H103NO12P2
unagamu_c,C71H113N2O18P2
unagamuf_c,C79H126N3O22P2
uppg3_c,C40H36N4O16
ura_c,C4H4N2O2
uracp_c,C4H6N2O4
urate_c,C5H4N4O3
urdglyc_c,C3H5N2O4
urea_c,CH4N2O
uri_c,C9H12N2O6
utp_c,C9H11N2O15P3
val__L_c,C5H11NO2
valtrna_c,C5H10NOR
wco_c,C10H10N5O8PS2W
xan_c,C5H4N4O2
xdp_c,C10H11N4O12P2
xmp_c,C10H11N4O9P
xtp_c,C10H11N4O15P3
xtsn_c,C10H12N4O6
xu5p__D_c,C5H9O8P
xu5p__L_c,C5H9O8P
xyl__D_c,C5H10O5
xylu__D_c,C5H10O5
xylu__L_c,C5H10O5
zn2_c,Zn
12ppd__R_e,C3H8O2
12ppd__S_e,C3H8O2
14glucan_e,C36H62O31
15dap_e,C5H16N2
23camp_e,C10H11N5O6P
23ccmp_e,C9H11N3O7P
23cgmp_e,C10H11N5O7P
23cump_e,C9H10N2O8P
23dappa_e,C3H9N2O2
26dap__M_e,C7H14N2O4
2ddglcn_e,C6H9O6
34dhpac_e,C8H8O3
3amp_e,C10H12N5O7P
3cmp_e,C9H12N3O8P
3gmp_e,C10H12N5O8P
3hcinnm_e,C9H7O3
3hpp_e,C3H5O3
3hpppn_e,C9H9O3
3ump_e,C9H11N2O9P
4abut_e,C4H9NO2
4hoxpacd_e,C8H8O2
5dglcn_e,C6H9O7
5mtr_e,C6H12O4S
LalaDglu_e,C8H13N2O5
LalaDgluMdap_e,C15H25N4O8
LalaDgluMdapDala_e,C18H30N5O9
LalaLglu_e,C8H13N2O5
ac_e,C2H3O2
acac_e,C4H5O3
acald_e,C2H4O
acgal_e,C8H15NO6
acgal1p_e,C8H14NO9P
acgam_e,C8H15NO6
acgam1p_e,C8H14NO9P
acmana_e,C8H15NO6
acmum_e,C11H18NO8
acnam_e,C11H18NO9
acolipa_e,C181H314N3O103P4
acser_e,C5H9NO4
ade_e,C5H5N5
adn_e,C10H13N5O4
adocbl_e,C72H100CoN18O17P
ag_e,Ag
agm_e,C5H16N4
akg_e,C5H4O5
ala_B_e,C3H7NO2
ala__D_e,C3H7NO2
ala__L_e,C3H7NO2
alaala_e,C6H12N2O3
all__D_e,C6H12O6
alltn_e,C4H6N4O3
amp_e,C10H12N5O7P
anhgm_e,C19H29N2O12
arab__L_e,C5H10O5
arbt_e,C12H16O7
arbtn_e,C22H33N4O13
arbtn_fe3_e,C22H33FeN4O13
arg__L_e,C6H15N4O2
ascb__L_e,C6H8O6
asn__L_e,C4H8N2O3
aso3_e,AsO3
asp__L_e,C4H6NO4
btn_e,C10H15N2O3S
but_e,C4H7O2
butso3_e,C4H9O3S
ca2_e,Ca
cbi_e,C48H72CoN11O8
cbl1_e,C62H88CoN13O14P
cd2_e,Cd
cgly_e,C5H10N2O3S
chol_e,C5H14NO
chtbs_e,C16H28N2O11
cit_e,C6H5O7
cl_e,Cl
cm_e,C11H12Cl2N2O5
cmp_e,C9H12N3O8P
co2_e,CO2
cobalt2_e,Co
colipa_e,C176H303N2O100P4
colipap_e,C176H303N2O103P5
cpgn_e,C35H52N6O13Fe
cpgn_un_e,C35H52N6O13
crn_e,C7H15NO3
crn__D_e,C7H15NO3
csn_e,C4H5N3O
cu_e,Cu
cu2_e,Cu
cyan_e,CHN
cynt_e,CNO
cys__D_e,C3H7NO2S
cys__L_e,C3H7NO2S
cytd_e,C9H13N3O5
dad_2_e,C10H13N5O3
damp_e,C10H12N5O6P
dca_e,C10H19O2
dcmp_e,C9H12N3O7P
dcyt_e,C9H13N3O4
ddca_e,C12H23O2
dgmp_e,C10H12N5O7P
dgsn_e,C10H13N5O4
dha_e,C3H6O3
dimp_e,C10H11N4O7P
din_e,C10H12N4O4
dms_e,C2H6S
dmso_e,C2H6OS
dopa_e,C8H12NO2
doxrbcn_e,C27H29NO11
dtmp_e,C10H13N2O8P
dump_e,C9H11N2O8P
duri_e,C9H12N2O5
eca4colipa_e,C272H447N14O160P4
enlipa_e,C112H202N3O42P3
enter_e,C30H27N3O15
etha_e,C2H8NO
ethso3_e,C2H5O3S
etoh_e,C2H6O
f6p_e,C6H11O9P
fald_e,CH2O
fe2_e,Fe
fe3_e,Fe
fe3dcit_e,C12H10FeO14
fe3dhbzs_e,C10H10NO6Fe
fe3hox_e,C9H18O6N3Fe
fe3hox_un_e,C9H18O6N3
fecrm_e,C27H42FeN9O12
fecrm_un_e,C27H42N9O12
feenter_e,C30H27FeN3O15
feoxam_e,C25H46FeN6O8
feoxam_un_e,C25H46N6O8
for_e,CH1O2
fru_e,C6H12O6
frulys_e,C12H25N2O7
fruur_e,C6H9O7
fuc__L_e,C6H12O5
fum_e,C4H2O4
fusa_e,C31H48O5
g1p_e,C6H11O9P
g3pc_e,C8H20NO6P
g3pe_e,C5H14NO6P
g3pg_e,C6H14O8P
g3pi_e,C9H18O11P
g3ps_e,C6H13NO8P
g6p_e,C6H11O9P
gal_e,C6H12O6
gal_bD_e,C6H12O6
gal1p_e,C6H11O9P
galct__D_e,C6H8O8
galctn__D_e,C6H11O7
galctn__L_e,C6H11O7
galt_e,C6H14O6
galur_e,C6H9O7
gam_e,C6H14NO5
gam6p_e,C6H13NO8P
gbbtn_e,C7H15NO2
gdp_e,C10H12N5O11P2
glc__D_e,C6H12O6
glcn_e,C6H11O7
glcr_e,C6H8O8
glcur_e,C6H9O7
glcur1p_e,C6H8O10P
gln__L_e,C5H10N2O3
glu__L_e,C5H8NO4
gly_e,C2H5NO2
glyald_e,C3H6O3
glyb_e,C5H11NO2
glyc_e,C3H8O3
glyc__R_e,C3H5O4
glyc2p_e,C3H7O6P
glyc3p_e,C3H7O6P
glyclt_e,C2H3O3
gmp_e,C10H12N5O8P
gsn_e,C10H13N5O5
gthox_e,C20H30N6O12S2
gthrd_e,C10H16N3O6S
gtp_e,C10H12N5O14P3
gua_e,C5H5N5O
h_e,H
h2_e,H2
h2o_e,H2O
h2o2_e,H2O2
h2s_e,H2S
hacolipa_e,C192H333N2O101P4
halipa_e,C126H226N2O40P2
hdca_e,C16H31O2
hdcea_e,C16H29O2
hg2_e,Hg
his__L_e,C6H9N3O2
hom__L_e,C4H9NO3
hxa_e,C6H11O2
hxan_e,C5H4N4O
idon__L_e,C6H11O7
ile__L_e,C6H13NO2
imp_e,C10H11N4O8P
indole_e,C8H7N
inost_e,C6H12O6
ins_e,C10H12N4O5
isetac_e,C2H5O4S
k_e,K
kdo2lipid4_e,C84H148N2O37P2
lac__D_e,C3H5O3
lac__L_e,C3H5O3
lcts_e,C12H22O11
leu__L_e,C6H13NO2
lipa_e,C110H196N2O39P2
lipa_cold_e,C114H202N2O39P2
lipoate_e,C8H14O2S2
lys__L_e,C6H15N2O2
lyx__L_e,C5H10O5
mal__D_e,C4H4O5
mal__L_e,C4H4O5
malt_e,C12H22O11
malthx_e,C36H62O31
maltpt_e,C30H52O26
malttr_e,C18H32O16
maltttr_e,C24H42O21
man_e,C6H12O6
man6p_e,C6H11O9P
manglyc_e,C9H15O9
melib_e,C12H22O11
meoh_e,CH4O1
met__D_e,C5H10NO2S
met__L_e,C5H11NO2S
metsox_R__L_e,C5H11NO3S
metsox_S__L_e,C5H11NO3S
mg2_e,Mg
mincyc_e,C23H27N3O7
minohp_e,C6H6O24P6
mmet_e,C6H14NO2S
mn2_e,Mn
mnl_e,C6H14O6
mobd_e,MoO4
mso3_e,CH3O3S
n2o_e,N2O
na1_e,Na
nac_e,C6H4NO2
nh4_e,H4N
ni2_e,Ni
nmn_e,C11H14N2O8P
no_e,NO
no2_e,NO2
no3_e,NO3
novbcn_e,C31H36N2O11
o16a4colipa_e,C312H523N6O200P4
o2_e,O2
o2s_e,O2
ocdca_e,C18H35O2
ocdcea_e,C18H33O2
octa_e,C8H15O2
orn_e,C5H13N2O2
orot_e,C5H3N2O4
pacald_e,C8H8O
peamn_e,C8H12N
phe__L_e,C9H11NO2
pheme_e,C34H30FeN4O4
pi_e,HO4P
pnto__R_e,C9H16NO5
ppa_e,C3H5O2
ppal_e,C3H6O
pppn_e,C9H9O2
ppt_e,HO3P
pro__L_e,C5H9NO2
progly_e,C7H12N2O3
psclys_e,C12H25N2O7
pser__L_e,C3H6NO6P
ptrc_e,C4H14N2
pydam_e,C8H13N2O2
pydx_e,C8H9NO3
pydxn_e,C8H11NO3
pyr_e,C3H3O3
quin_e,C7H12O6
r5p_e,C5H9O8P
rfamp_e,C43H58N4O12
rib__D_e,C5H10O5
rmn_e,C6H12O5
sbt__D_e,C6H14O6
sel_e,O4Se
ser__D_e,C3H7NO3
ser__L_e,C3H7NO3
skm_e,C7H9O5
slnt_e,O3Se
so2_e,O2S
so3_e,O3S
so4_e,O4S
spmd_e,C7H22N3
succ_e,C4H4O4
sucr_e,C12H22O11
sulfac_e,C2H2O5S
tartr__D_e,C4H4O6
tartr__L_e,C4H4O6
taur_e,C2H7NO3S
tcynt_e,CNS
thm_e,C12H17N4OS
thr__L_e,C4H9NO3
thrp_e,C4H8NO6P
thym_e,C5H6N2O2
thymd_e,C10H14N2O5
tma_e,C3H10N
tmao_e,C3H9NO
tre_e,C12H22O11
trp__L_e,C11H12N2O2
tsul_e,O3S2
ttdca_e,C14H27O2
ttdcea_e,C14H25O2
ttrcyc_e,C22H24N2O8
tungs_e,O4W1
tym_e,C8H12NO
tyr__L_e,C9H11NO3
tyrp_e,C9H10NO6P
uacgam_e,C17H25N3O17P2
udpacgal_e,C17H25N3O17P2
udpg_e,C15H22N2O17P2
udpgal_e,C15H22N2O17P2
udpglcur_e,C15H19N2O18P2
ump_e,C9H11N2O9P
ura_e,C4H4N2O2
urea_e,CH4N2O
uri_e,C9H12N2O6
val__L_e,C5H11NO2
xan_e,C5H4N4O2
xmp_e,C10H11N4O9P
xtsn_e,C10H12N4O6
xyl__D_e,C5H10O5
xylu__L_e,C5H10O5
zn2_e,Zn
12dgr120_p,C27H52O5
12dgr140_p,C31H60O5
12dgr141_p,C31H56O5
12dgr160_p,C35H68O5
12dgr161_p,C35H64O5
12dgr180_p,C39H76O5
12dgr181_p,C39H72O5
12ppd__R_p,C3H8O2
12ppd__S_p,C3H8O2
14glucan_p,C36H62O31
15dap_p,C5H16N2
1agpe120_p,C17H36NO7P1
1agpe140_p,C19H40NO7P1
1agpe141_p,C19H38NO7P1
1agpe160_p,C21H44NO7P1
1agpe161_p,C21H42NO7P1
1agpe180_p,C23H48NO7P1
1agpe181_p,C23H46NO7P1
1agpg120_p,C18H36O9P1
1agpg140_p,C20H40O9P1
1agpg141_p,C20H38O9P1
1agpg160_p,C22H44O9P1
1agpg161_p,C22H42O9P1
1agpg180_p,C24H48O9P1
1agpg181_p,C24H46O9P1
1ddecg3p_p,C15H29O7P1
1hdec9eg3p_p,C19H35O7P1
1hdecg3p_p,C19H37O7P1
1odec11eg3p_p,C21H39O7P1
1odecg3p_p,C21H41O7P1
1tdec7eg3p_p,C17H31O7P1
1tdecg3p_p,C17H33O7P1
23camp_p,C10H11N5O6P
23ccmp_p,C9H11N3O7P
23cgmp_p,C10H11N5O7P
23cump_p,C9H10N2O8P
23dappa_p,C3H9N2O2
26dap__M_p,C7H14N2O4
2agpe120_p,C17H36NO7P1
2agpe140_p,C19H40NO7P1
2agpe141_p,C19H38NO7P1
2agpe160_p,C21H44NO7P1
2agpe161_p,C21H42NO7P1
2agpe180_p,C23H48NO7P1
2agpe181_p,C23H46NO7P1
2agpg120_p,C18H36O9P1
2agpg140_p,C20H40O9P1
2agpg141_p,C20H38O9P1
2agpg160_p,C22H44O9P1
2agpg161_p,C22H42O9P1
2agpg180_p,C24H48O9P1
2agpg181_p,C24H46O9P1
2ddecg3p_p,C15H30O7P1
2ddglcn_p,C6H9O6
2hdec9eg3p_p,C19H36O7P1
2hdecg3p_p,C19H38O7P1
2odec11eg3p_p,C21H40O7P1
2odecg3p_p,C21H42O7P1
2tdec7eg3p_p,C17H32O7P1
2tdecg3p_p,C17H34O7P1
34dhpac_p,C8H8O3
3amp_p,C10H12N5O7P
3cmp_p,C9H12N3O8P
3gmp_p,C10H12N5O8P
3hcinnm_p,C9H7O3
3hpp_p,C3H5O3
3hpppn_p,C9H9O3
3ump_p,C9H11N2O9P
4abut_p,C4H9NO2
4hoxpacd_p,C8H8O2
5dglcn_p,C6H9O7
5mtr_p,C6H12O4S
LalaDglu_p,C8H13N2O5
LalaDgluMdap_p,C15H25N4O8
LalaDgluMdapDala_p,C18H30N5O9
LalaLglu_p,C8H13N2O5
ac_p,C2H3O2
acac_p,C4H5O3
acald_p,C2H4O
acgal_p,C8H15NO6
acgal1p_p,C8H14NO9P
acgam_p,C8H15NO6
acgam1p_p,C8H14NO9P
acmana_p,C8H15NO6
acmum_p,C11H18NO8
acnam_p,C11H18NO9
acolipa_p,C181H314N3O103P4
acser_p,C5H9NO4
ade_p,C5H5N5
adn_p,C10H13N5O4
adocbl_p,C72H100CoN18O17P
agm_p,C5H16N4
akg_p,C5H4O5
ala_B_p,C3H7NO2
ala__D_p,C3H7NO2
ala__L_p,C3H7NO2
alaala_p,C6H12N2O3
all__D_p,C6H12O6
alltn_p,C4H6N4O3
alpp_p,X
amp_p,C10H12N5O7P
anhgm_p,C19H29N2O12
anhgm3p_p,C34H52N6O19
anhgm4p_p,C37H57N7O20
arab__L_p,C5H10O5
arbt_p,C12H16O7
arbtn_p,C22H33N4O13
arbtn_fe3_p,C22H33FeN4O13
arg__L_p,C6H15N4O2
ascb__L_p,C6H8O6
asn__L_p,C4H8N2O3
aso3_p,AsO3
asp__L_p,C4H6NO4
btn_p,C10H15N2O3S
but_p,C4H7O2
butso3_p,C4H9O3S
ca2_p,Ca
cbi_p,C48H72CoN11O8
cbl1_p,C62H88CoN13O14P
cd2_p,Cd
cgly_p,C5H10N2O3S
chol_p,C5H14NO
chtbs_p,C16H28N2O11
cit_p,C6H5O7
cl_p,Cl
clpn120_p,C57H108O17P2
clpn140_p,C65H124O17P2
clpn141_p,C65H116O17P2
clpn160_p,C73H140O17P2
clpn161_p,C73H132O17P2
clpn180_p,C81H156O17P2
clpn181_p,C81H148O17P2
cm_p,C11H12Cl2N2O5
cmp_p,C9H12N3O8P
co2_p,CO2
cobalt2_p,Co
colipa_p,C176H303N2O100P4
colipap_p,C176H303N2O103P5
cpgn_p,C35H52N6O13Fe
cpgn_un_p,C35H52N6O13
crn_p,C7H15NO3
crn__D_p,C7H15NO3
csn_p,C4H5N3O
ctbt_p,C7H13NO2
cu_p,Cu
cu2_p,Cu
cyan_p,CHN
cynt_p,CNO
cys__D_p,C3H7NO2S
cys__L_p,C3H7NO2S
cytd_p,C9H13N3O5
dad_2_p,C10H13N5O3
damp_p,C10H12N5O6P
dca_p,C10H19O2
dcmp_p,C9H12N3O7P
dcyt_p,C9H13N3O4
ddca_p,C12H23O2
dgmp_p,C10H12N5O7P
dgsn_p,C10H13N5O4
dha_p,C3H6O3
dimp_p,C10H11N4O7P
din_p,C10H12N4O4
dms_p,C2H6S
dmso_p,C2H6OS
dopa_p,C8H12NO2
doxrbcn_p,C27H29NO11
dsbaox_p,X
dsbard_p,XH2
dsbcox_p,X
dsbcrd_p,XH2
dsbgox_p,X
dsbgrd_p,XH2
dtmp_p,C10H13N2O8P
dump_p,C9H11N2O8P
duri_p,C9H12N2O5
eca2und_p,C103H162N6O37P2
eca3und_p,C127H198N9O52P2
eca4colipa_p,C272H447N14O160P4
eca4und_p,C151H234N12O67P2
enlipa_p,C112H202N3O42P3
enter_p,C30H27N3O15
etha_p,C2H8NO
ethso3_p,C2H5O3S
etoh_p,C2H6O
f6p_p,C6H11O9P
fald_p,CH2O
fe2_p,Fe
fe3_p,Fe
fe3dcit_p,C12H10FeO14
fe3dhbzs_p,C10H10NO6Fe
fe3hox_p,C9H18O6N3Fe
fe3hox_un_p,C9H18O6N3
fecrm_p,C27H42FeN9O12
fecrm_un_p,C27H42N9O12
feenter_p,C30H27FeN3O15
feoxam_p,C25H46FeN6O8
feoxam_un_p,C25H46N6O8
for_p,CH1O2
fru_p,C6H12O6
frulys_p,C12H25N2O7
fruur_p,C6H9O7
fuc__L_p,C6H12O5
fum_p,C4H2O4
fusa_p,C31H48O5
g1p_p,C6H11O9P
g3pc_p,C8H20NO6P
g3pe_p,C5H14NO6P
g3pg_p,C6H14O8P
g3pi_p,C9H18O11P
g3ps_p,C6H13NO8P
g6p_p,C6H11O9P
gal_p,C6H12O6
gal_bD_p,C6H12O6
gal1p_p,C6H11O9P
galct__D_p,C6H8O8
galctn__D_p,C6H11O7
galctn__L_p,C6H11O7
galt_p,C6H14O6
galur_p,C6H9O7
gam_p,C6H14NO5
gam6p_p,C6H13NO8P
gbbtn_p,C7H15NO2
gdp_p,C10H12N5O11P2
glc__D_p,C6H12O6
glcn_p,C6H11O7
glcr_p,C6H8O8
glcur_p,C6H9O7
glcur1p_p,C6H8O10P
gln__L_p,C5H10N2O3
glu__L_p,C5H8NO4
gly_p,C2H5NO2
glyald_p,C3H6O3
glyb_p,C5H11NO2
glyc_p,C3H8O3
glyc__R_p,C3H5O4
glyc2p_p,C3H7O6P
glyc3p_p,C3H7O6P
glyclt_p,C2H3O3
gmp_p,C10H12N5O8P
gsn_p,C10H13N5O5
gthox_p,C20H30N6O12S2
gthrd_p,C10H16N3O6S
gtp_p,C10H12N5O14P3
gua_p,C5H5N5O
h_p,H
h2_p,H2
h2o_p,H2O
h2o2_p,H2O2
h2s_p,H2S
hdca_p,C16H31O2
hdcea_p,C16H29O2
hg2_p,Hg
his__L_p,C6H9N3O2
hom__L_p,C4H9NO3
hxa_p,C6H11O2
hxan_p,C5H4N4O
idon__L_p,C6H11O7
ile__L_p,C6H13NO2
imp_p,C10H11N4O8P
indole_p,C8H7N
inost_p,C6H12O6
ins_p,C10H12N4O5
isetac_p,C2H5O4S
k_p,K
kdo2lipid4_p,C84H148N2O37P2
lac__D_p,C3H5O3
lac__L_p,C3H5O3
lcts_p,C12H22O11
leu__L_p,C6H13NO2
lipa_p,C110H196N2O39P2
lipa_cold_p,C114H202N2O39P2
lipoate_p,C8H14O2S2
lpp_p,XC16H30O1
lys__L_p,C6H15N2O2
lyx__L_p,C5H10O5
mal__D_p,C4H4O5
mal__L_p,C4H4O5
malt_p,C12H22O11
malthx_p,C36H62O31
maltpt_p,C30H52O26
malttr_p,C18H32O16
maltttr_p,C24H42O21
man_p,C6H12O6
man6p_p,C6H11O9P
manglyc_p,C9H15O9
melib_p,C12H22O11
meoh_p,CH4O1
met__D_p,C5H10NO2S
met__L_p,C5H11NO2S
metsox_R__L_p,C5H11NO3S
metsox_S__L_p,C5H11NO3S
mg2_p,Mg
mincyc_p,C23H27N3O7
minohp_p,C6H6O24P6
mmet_p,C6H14NO2S
mn2_p,Mn
mnl_p,C6H14O6
mobd_p,MoO4
mso3_p,CH3O3S
murein3p3p_p,C68H104N12O38
murein3px3p_p,C68H102N12O37
murein3px4p_p,C71H107N13O38
murein4p3p_p,C71H109N13O39
murein4p4p_p,C74H114N14O40
murein4px4p_p,C74H112N14O39
murein4px4p4p_p,C111H169N21O59
murein4px4px4p_p,C111H167N21O58
murein5p3p_p,C74H114N14O40
murein5p4p_p,C77H119N15O41
murein5p5p_p,C80H124N16O42
murein5p5p5p_p,C120H186N24O63
murein5px3p_p,C74H112N14O39
murein5px4p_p,C77H117N15O40
murein5px4px4p_p,C114H172N22O59
n2o_p,N2O
na1_p,Na
nac_p,C6H4NO2
nh4_p,H4N
ni2_p,Ni
nmn_p,C11H14N2O8P
no_p,NO
no2_p,NO2
no3_p,NO3
novbcn_p,C31H36N2O11
o16a2und_p,C123H200N2O57P2
o16a3und_p,C157H255N3O82P2
o16a4colipa_p,C312H523N6O200P4
o16a4und_p,C191H310N4O107P2
o16aund_p,C89H145N1O32P2
o2_p,O2
o2s_p,O2
ocdca_p,C18H35O2
ocdcea_p,C18H33O2
octa_p,C8H15O2
orn_p,C5H13N2O2
orot_p,C5H3N2O4
pa120_p,C27H51O8P1
pa140_p,C31H59O8P1
pa141_p,C31H55O8P1
pa160_p,C35H67O8P1
pa161_p,C35H63O8P1
pa180_p,C39H75O8P1
pa181_p,C39H71O8P1
pacald_p,C8H8O
pe120_p,C29H58N1O8P1
pe140_p,C33H66N1O8P1
pe141_p,C33H62N1O8P1
pe160_p,C37H74N1O8P1
pe161_p,C37H70N1O8P1
pe180_p,C41H82N1O8P1
pe181_p,C41H78N1O8P1
peamn_p,C8H12N
pg120_p,C30H58O10P1
pg140_p,C34H66O10P1
pg141_p,C34H62O10P1
pg160_p,C38H74O10P1
pg161_p,C38H70O10P1
pg180_p,C42H82O10P1
pg181_p,C42H78O10P1
pgp120_p,C30H57O13P2
pgp140_p,C34H65O13P2
pgp141_p,C34H61O13P2
pgp160_p,C38H73O13P2
pgp161_p,C38H69O13P2
pgp180_p,C42H81O13P2
pgp181_p,C42H77O13P2
phe__L_p,C9H11NO2
pheme_p,C34H30FeN4O4
pi_p,HO4P
pnto__R_p,C9H16NO5
ppa_p,C3H5O2
ppal_p,C3H6O
pppn_p,C9H9O2
ppt_p,HO3P
pro__L_p,C5H9NO2
progly_p,C7H12N2O3
psclys_p,C12H25N2O7
pser__L_p,C3H6NO6P
ptrc_p,C4H14N2
pydam_p,C8H13N2O2
pydx_p,C8H9NO3
pydxn_p,C8H11NO3
pyr_p,C3H3O3
quin_p,C7H12O6
r5p_p,C5H9O8P
rfamp_p,C43H58N4O12
rib__D_p,C5H10O5
rmn_p,C6H12O5
sbt__D_p,C6H14O6
sel_p,O4Se
ser__D_p,C3H7NO3
ser__L_p,C3H7NO3
skm_p,C7H9O5
slnt_p,O3Se
so2_p,O2S
so3_p,O3S
so4_p,O4S
spmd_p,C7H22N3
succ_p,C4H4O4
sucr_p,C12H22O11
sulfac_p,C2H2O5S
tartr__D_p,C4H4O6
tartr__L_p,C4H4O6
taur_p,C2H7NO3S
tcynt_p,CNS
thm_p,C12H17N4OS
thr__L_p,C4H9NO3
thrp_p,C4H8NO6P
thym_p,C5H6N2O2
thymd_p,C10H14N2O5
tma_p,C3H10N
tmao_p,C3H9NO
tre_p,C12H22O11
trp__L_p,C11H12N2O2
tsul_p,O3S2
ttdca_p,C14H27O2
ttdcea_p,C14H25O2
ttrcyc_p,C22H24N2O8
tungs_p,O4W1
tym_p,C8H12NO
tyr__L_p,C9H11NO3
tyrp_p,C9H10NO6P
uLa4n_p,C60H100N1O7P1
uacgam_p,C17H25N3O17P2
udcpdp_p,C55H89O7P2
udcpp_p,C55H89O4P
udpacgal_p,C17H25N3O17P2
udpg_p,C15H22N2O17P2
udpgal_p,C15H22N2O17P2
udpglcur_p,C15H19N2O18P2
ump_p,C9H11N2O9P
unagamuf_p,C79H126N3O22P2
ura_p,C4H4N2O2
urea_p,CH4N2O
uri_p,C9H12N2O6
val__L_p,C5H11NO2
xan_p,C5H4N4O2
xmp_p,C10H11N4O9P
xtsn_p,C10H12N4O6
xyl__D_p,C5H10O5
xylu__L_p,C5H10O5
zn2_p,Zn
ala-B_0.3750.1,C3H7NO2
aa,C3H5NO
