Metabolite,Formula
5apru_c,C9H13N4O9P
5caiz_c,C9H11N3O9P
5dglcn_c,C6H9O7
5dh4dglc_c,C6H6O7
5drib_c,C5H10O4
5fthf_c,C20H21N7O7
5mta_c,C11H15N5O3S
5mthf_c,C20H24N7O6
5mtr_c,C6H12O4S
5prdmbz_c,C14H17N2O7P
6hmhpt_c,C7H9N5O2
6hmhptpp_c,C7H8N5O8P2
6pgc_c,C6H10O10P
6pgl_c,C6H9O9P
8aonn_c,C9H17NO3
ACP_c,C11H21N2O7PRS
LalaDglu_c,C8H13N2O5
LalaDgluMdap_c,C15H25N4O8
LalaDgluMdapDala_c,C18H30N5O9
LalaLglu_c,C8H13N2O5
N1aspmd_c,C9H23N3O
Nmtrp_c,C12H14N2O2
Sfglutth_c,C11H16N3O7S
aacald_c,C2H6NO
aacoa_c,C25H36N7O18P3S
aact_c,C3H8NO
ac_c,C2H3O2
acACP_c,C13H23N2O8PRS
acac_c,C4H5O3
acald_c,C2H4O
acanth_c,C9H8NO3
accoa_c,C23H34N7O17P3S
acetol_c,C3H6O2
acg5p_c,C7H9NO8P
acg5sa_c,C7H10NO4
acgam_c,C8H15NO6
acgam1p_c,C8H14NO9P
acgam6p_c,C8H14NO9P
acglc__D_c,C8H14O7
acglu_c,C7H9NO5
acmalt_c,C14H24O12
acmana_c,C8H15NO6
acmanap_c,C8H14NO9P
acmum6p_c,C11H17NO11P
acnam_c,C11H18NO9
acon_C_c,C6H3O6
acon_T_c,C6H3O6
aconm_c,C7H6O6
acorn_c,C7H14N2O3
acser_c,C5H9NO4
actACP_c,C15H25N2O9PRS
actp_c,C2H3O5P
ade_c,C5H5N5
adn_c,C10H13N5O4
adocbi_c,C58H84CoN16O11
adocbip_c,C58H83CoN16O14P
adocbl_c,C72H100CoN18O17P
adp_c,C10H12N5O10P2
adpglc_c,C16H23N5O15P2
adphep_DD_c,C17H25N5O16P2
adphep_LD_c,C17H25N5O16P2
adprib_c,C15H21N5O14P2
ag_c,Ag
agdpcbi_c,C68H95CoN21O21P2
agm_c,C5H16N4
ahcys_c,C14H20N6O5S
ahdt_c,C9H12N5O13P3
aicar_c,C9H13N4O8P
air_c,C8H12N3O7P
akg_c,C5H4O5
ala_B_c,C3H7NO2
ala__D_c,C3H7NO2
ala__L_c,C3H7NO2
alaala_c,C6H12N2O3
